id;node_id;text;radiobox_group_name;orientation;positio
1;decentralizzata;Account pixel Account;Treviso feed protocol;ORIZZONTALE;57661
2;cutting-edge;cross-platform Buckinghamshire Metrics;Cuneo Steel;VERTICALE;68962
3;aggregate magnetiche sincronizzata;invoice invoice SSL;e Designer Circuito;VERTICALE;12306
4;USB Legacy;asimmetrica Communications;online;ORIZZONTALE;64014
5;Cotton;Generic multi-canale;Grosseto;VERTICALE;65260
6;modelli;connecting;locale synthesizing;VERTICALE;25275
7;blue Unbranded Cambridgeshire;inversa compressing navigating;exploit neural Agent;VERTICALE;56320
8;quantifying;matrici;Rotonda;VERTICALE;62586
9;Account green;L'Aquila relazioni terziaria;Proiezione Successo;VERTICALE;20398
10;back-end;Account Forward system;Dollar Security;ORIZZONTALE;95408
