id;node_id;text;random;position
1;metodica;Steel Fresh;false;87953
2;calculate synthesize;navigate Borders ottimizzante;false;49135
3;e-business EXE;convergenze auxiliary ottimizzata;false;57968
4;withdrawal Metodologia;Nakfa;true;21026
5;Supervisor Market open-source;Toys Bahamas;false;3229
6;Piazza Contrada National;PNG;true;32515
7;e-business;olistiche;true;87658
8;Fresh uniforme;Fish;false;26770
9;override Automotive Incrocio;microchip Integration quantify;false;65424
10;user-friendly driver withdrawal;Legacy metodologie Licensed;true;42933
