id;label;boxvalue;checked;position
1;accrescitive;Supervisor;false;74013
2;Madagascar Dynamic Cotton;Borgo;true;40994
3;yellow;omogenea Madagascar;true;13367
4;firewall spedizioni Previsione;Russian generate teal;true;52798
5;Via;contenuti Engineer mercati;true;62061
6;SCSI next-generation Division;Table;false;59502
7;Shoes;Grosseto Planner Identity;true;28735
8;configurabile Program metodologie;compress metodologie;false;47516
9;Crotone;pixel;false;36537
10;Frozen magnetiche;comunità reboot;false;28339
