id;node_id;text;radiobox_group_name;orientation;position
1;ridotta Account payment;Bacon Berkshire Slovenia;TCP;ORIZZONTALE;99940
2;Computer;override;virtual overriding hacking;VERTICALE;4075
3;interattiva copy;Accountability Borders Rupee;sinergizzate;VERTICALE;93896
4;Ball RAM Campobasso;Canada;Fantastic application;VERTICALE;67760
5;locale Svezia;capacitor;Cambridgeshire Product interattive;VERTICALE;50893
6;pink;calculating Configuration;Salerno Branding deposit;VERTICALE;41691
7;Togo Outdoors;Money Biella;Forward Bedfordshire metriche;VERTICALE;37998
8;Administrator;Security Granite;Brunei;VERTICALE;39868
9;mobile Dalasi Chicken;TCP UIC-Franc black;Principal;VERTICALE;11983
10;calculate SDD Designer;connecting Intelligent copying;Plastic;VERTICALE;91362
